
date: 04/11/2018 19:55:34.851	code: Info	text: Connected by ('127.0.0.1', 4706) --> command: ping
date: 04/11/2018 19:55:34.851	code: Info	text: self.ping()
date: 04/11/2018 19:55:34.851	code: Info	text: 0
date: 04/11/2018 19:55:50.430	code: Info	text: Connected by ('127.0.0.1', 4723) --> command: ping
date: 04/11/2018 19:55:50.430	code: Info	text: self.ping()
date: 04/11/2018 19:55:50.430	code: Info	text: 0
date: 04/11/2018 19:56:06.619	code: Info	text: Connected by ('127.0.0.1', 4743) --> command: ping
date: 04/11/2018 19:56:06.619	code: Info	text: self.ping()
date: 04/11/2018 19:56:06.619	code: Info	text: 0
date: 04/11/2018 19:56:23.121	code: Info	text: Connected by ('127.0.0.1', 4760) --> command: ping
date: 04/11/2018 19:56:23.121	code: Info	text: self.ping()
date: 04/11/2018 19:56:23.121	code: Info	text: 0
date: 04/11/2018 19:57:08.344	code: Info	text: Connected by ('127.0.0.1', 4784) --> command: ping
date: 04/11/2018 19:57:08.344	code: Info	text: self.ping()
date: 04/11/2018 19:57:08.344	code: Info	text: 0
date: 04/11/2018 19:57:49.222	code: Info	text: Connected by ('127.0.0.1', 4794) --> command: ping
date: 04/11/2018 19:57:49.222	code: Info	text: self.ping()
date: 04/11/2018 19:57:49.222	code: Info	text: 0
date: 04/11/2018 19:58:04.505	code: Info	text: Connected by ('127.0.0.1', 4811) --> command: ping
date: 04/11/2018 19:58:04.505	code: Info	text: self.ping()
date: 04/11/2018 19:58:04.505	code: Info	text: 0
date: 04/11/2018 19:58:20.678	code: Info	text: Connected by ('127.0.0.1', 4831) --> command: ping
date: 04/11/2018 19:58:20.678	code: Info	text: self.ping()
date: 04/11/2018 19:58:20.678	code: Info	text: 0
date: 04/11/2018 19:58:36.320	code: Info	text: Connected by ('127.0.0.1', 4849) --> command: ping
date: 04/11/2018 19:58:36.320	code: Info	text: self.ping()
date: 04/11/2018 19:58:36.320	code: Info	text: 0
date: 04/11/2018 19:58:52.275	code: Info	text: Connected by ('127.0.0.1', 4869) --> command: ping
date: 04/11/2018 19:58:52.275	code: Info	text: self.ping()
date: 04/11/2018 19:58:52.275	code: Info	text: 0
date: 04/11/2018 19:59:08.495	code: Info	text: Connected by ('127.0.0.1', 4886) --> command: ping
date: 04/11/2018 19:59:08.495	code: Info	text: self.ping()
date: 04/11/2018 19:59:08.495	code: Info	text: 0
date: 04/11/2018 19:59:53.593	code: Info	text: Connected by ('127.0.0.1', 4905) --> command: ping
date: 04/11/2018 19:59:53.593	code: Info	text: self.ping()
date: 04/11/2018 19:59:53.593	code: Info	text: 0
date: 04/11/2018 20:00:30.971	code: Info	text: Connected by ('127.0.0.1', 4914) --> command: ping
date: 04/11/2018 20:00:30.971	code: Info	text: self.ping()
date: 04/11/2018 20:00:30.971	code: Info	text: 0
date: 04/11/2018 20:00:46.160	code: Info	text: Connected by ('127.0.0.1', 4934) --> command: ping
date: 04/11/2018 20:00:46.160	code: Info	text: self.ping()
date: 04/11/2018 20:00:46.160	code: Info	text: 0
date: 04/11/2018 20:01:02.193	code: Info	text: Connected by ('127.0.0.1', 4952) --> command: ping
date: 04/11/2018 20:01:02.193	code: Info	text: self.ping()
date: 04/11/2018 20:01:02.193	code: Info	text: 0
date: 04/11/2018 20:01:17.835	code: Info	text: Connected by ('127.0.0.1', 4971) --> command: ping
date: 04/11/2018 20:01:17.835	code: Info	text: self.ping()
date: 04/11/2018 20:01:17.835	code: Info	text: 0
date: 04/11/2018 20:01:33.164	code: Info	text: Connected by ('127.0.0.1', 4988) --> command: ping
date: 04/11/2018 20:01:33.164	code: Info	text: self.ping()
date: 04/11/2018 20:01:33.164	code: Info	text: 0
date: 04/11/2018 20:01:48.213	code: Info	text: Connected by ('127.0.0.1', 1032) --> command: ping
date: 04/11/2018 20:01:48.213	code: Info	text: self.ping()
date: 04/11/2018 20:01:48.213	code: Info	text: 0
date: 04/11/2018 20:02:33.263	code: Info	text: Connected by ('127.0.0.1', 1060) --> command: ping
date: 04/11/2018 20:02:33.263	code: Info	text: self.ping()
date: 04/11/2018 20:02:33.263	code: Info	text: 0
date: 04/11/2018 20:03:07.970	code: Info	text: Connected by ('127.0.0.1', 1070) --> command: ping
date: 04/11/2018 20:03:07.970	code: Info	text: self.ping()
date: 04/11/2018 20:03:07.970	code: Info	text: 0
date: 04/11/2018 20:03:23.174	code: Info	text: Connected by ('127.0.0.1', 1087) --> command: ping
date: 04/11/2018 20:03:23.174	code: Info	text: self.ping()
date: 04/11/2018 20:03:23.174	code: Info	text: 0
date: 04/11/2018 20:03:39.238	code: Info	text: Connected by ('127.0.0.1', 1108) --> command: ping
date: 04/11/2018 20:03:39.238	code: Info	text: self.ping()
date: 04/11/2018 20:03:39.238	code: Info	text: 0
